location,east_bound_longitude,north_bound_latitude,south_bound_latitude,west_bound_longitude
ville-blainville,-73.73,45.82,45.57,-73.94
ville-gatineau,-75.33,45.6,45.37,-75.91
ville-laval,-73.51,45.7,45.5,-73.9
ville-longueuil,-73.33,45.59,45.41,-73.53
ville-montreal,-73.46,45.72,45.36,-74
province-quebec,-57,62.6,45,-79.6
ville-quebec,-71.12,46.99,46.69,-71.62
ville-repentigny,-73.27,45.94,45.69,-73.58
ville-rimouski,-67.94,48.54,47.86,-69
ville-rouyn-noranda,-78.2,48.59,47.68,-79.53
ville-shawinigan,-72.53,46.92,46.38,-73.19
ville-sherbrooke,-71.79,45.54,45.25,-72.15
autre,-57,62.6,45,-79.6
ville-saguenay,-70.7392795792697,48.5357014132498,48.2927456270785,-71.5389470757957
