Inventory CSV,Number of Results
Manitoba_DEM_results.csv,5
Manitoba_InteractiveMaps_results.csv,9
Manitoba_MapServices_results.csv,100
Manitoba_Misc_results.csv,15
Manitoba_MLI_Administrative-Boundaries_results.csv,61
Manitoba_MLI_Base-Maps_results.csv,4
Manitoba_MLI_Cadastral_results.csv,707
Manitoba_MLI_Digital-Elevation-Models_results.csv,110
Manitoba_MLI_Digital-Imagery_results.csv,11607
Manitoba_MLI_Environment_results.csv,9
Manitoba_MLI_Forest-Inventory_results.csv,77
Manitoba_MLI_Geographical-Names_results.csv,2
Manitoba_MLI_Geology-Mapping_results.csv,11
Manitoba_MLI_Hydrography_results.csv,48
Manitoba_MLI_Land-Use-Cover-Maps_results.csv,41
Manitoba_MLI_Municipal-Maps_results.csv,254
Manitoba_MLI_Quarter-Section-Grids_results.csv,475
Manitoba_MLI_Soil-Classification_results.csv,363
Manitoba_MLI_Spatial-Referencing_results.csv,4
Manitoba_MLI_Topographic-Maps_results.csv,474
Manitoba_MLI_Transportation_results.csv,8
Manitoba_Municipal_results.csv,1345
Province Total,15729
